,game_date,season_type,,
12987,2021-06-19,playoff,,
12989,2021-06-20,playoff,,
12993,2021-06-22,playoff,,
12995,2021-06-23,playoff,,
12997,2021-06-24,playoff,,
12999,2021-06-25,playoff,,
13001,2021-06-26,playoff,,
13003,2021-06-27,playoff,,
13005,2021-06-28,playoff,,
13007,2021-06-29,playoff,,
13009,2021-06-30,playoff,,
13011,2021-07-01,playoff,,
13013,2021-07-03,playoff,,
13015,2021-07-06,playoff,,
13017,2021-07-08,playoff,,
13019,2021-07-11,playoff,,
13021,2021-07-14,playoff,,
13023,2021-07-17,playoff,,
13025,2021-07-20,playoff,,
